survived,pclass,sex,age,sibsp,parch,fare,embarked,adult_male,embark_town,alone,age_z,fare_z
0,2,male,29.0,1,0,21.0,S,True,Southampton,False,-0.024270581385404912,-0.22328446931005533
0,1,male,24.0,0,1,247.5208,C,True,Cherbourg,False,-0.40933227342283207,4.334706985481072
0,3,female,2.0,4,2,31.275,S,False,Southampton,False,-2.1036037183875114,-0.016533644670645515
0,2,male,21.0,2,0,73.5,S,True,Southampton,False,-0.6403692886452884,0.8331066054898489
0,3,male,28.0,0,0,8.05,S,True,Southampton,True,-0.10128291979289035,-0.48386093442736505
0,2,male,32.5,1,0,30.0708,C,True,Cherbourg,False,0.2452726030407941,-0.04076423766634161
1,2,female,32.5,0,0,13.0,S,False,Southampton,True,0.2452726030407941,-0.38425834737480263
0,1,male,54.0,0,1,77.2875,S,True,Southampton,False,1.9010378788017308,0.9093176758861277
1,3,male,12.0,1,0,11.2417,C,False,Cherbourg,False,-1.3334803343126573,-0.41963839359995825
0,3,male,28.0,0,0,7.75,Q,True,Queenstown,True,-0.10128291979289035,-0.4898974548547931
1,3,male,24.0,0,0,7.1417,S,True,Southampton,True,-0.40933227342283207,-0.5021375061081413
1,3,female,28.0,1,1,22.3583,C,False,Cherbourg,False,-0.10128291979289035,-0.19595311698813705
0,3,male,45.0,0,0,6.975,S,True,Southampton,True,1.207926833134362,-0.5054917992923155
0,3,male,33.0,0,0,7.8958,C,True,Cherbourg,True,0.2837787722445368,-0.486963705927063
0,3,male,20.0,0,0,7.05,S,True,Southampton,True,-0.7173816270527738,-0.5039826691854584
0,3,female,47.0,1,0,14.5,S,False,Southampton,False,1.361951509949333,-0.3540757452376625
1,2,female,29.0,1,0,26.0,S,False,Southampton,False,-0.024270581385404912,-0.12267579551958825
0,2,male,25.0,0,0,13.0,S,True,Southampton,True,-0.3323199350153466,-0.38425834737480263
0,2,male,23.0,0,0,15.0458,C,True,Cherbourg,True,-0.4863446118303175,-0.3430933024066951
1,1,female,19.0,0,2,26.2833,S,False,Southampton,False,-0.7943939654602592,-0.11697530806262038
0,1,male,37.0,1,0,53.1,S,True,Southampton,False,0.5918281258744785,0.4226232164247433
0,3,male,16.0,0,0,9.2167,S,True,Southampton,True,-1.0254309806827155,-0.46038490648509744
0,1,male,24.0,0,0,79.2,C,True,Cherbourg,True,-0.40933227342283207,0.9478004936109815
0,3,female,28.0,0,2,15.2458,C,False,Cherbourg,False,-0.10128291979289035,-0.3390689554550765
1,3,female,22.0,0,0,7.75,S,False,Southampton,True,-0.563356950237803,-0.4898974548547931
1,3,female,24.0,1,0,15.85,S,False,Southampton,False,-0.40933227342283207,-0.3269114033142364
0,3,male,19.0,0,0,6.75,Q,True,Queenstown,True,-0.7943939654602592,-0.5100191896128865
0,2,male,18.0,0,0,11.5,S,True,Southampton,True,-0.8714063038677446,-0.41444094951194277
0,2,male,19.0,1,1,36.75,S,True,Southampton,False,-0.7943939654602592,0.09363285312991595
1,3,male,27.0,0,0,7.7958,S,True,Southampton,True,-0.17829525820037578,-0.4889758794028724
0,3,female,9.0,2,2,34.375,S,False,Southampton,False,-1.5645173495351135,0.045843733079444095
0,2,male,36.5,0,2,26.0,S,True,Southampton,False,0.5533219566707358,-0.12267579551958825
0,2,male,42.0,0,0,13.0,S,True,Southampton,True,0.9768898179119057,-0.38425834737480263
0,2,male,51.0,0,0,12.525,S,True,Southampton,True,1.6700008635792747,-0.39381617138489705
1,1,female,22.0,1,0,66.6,S,False,Southampton,False,-0.563356950237803,0.6942666356590043
0,3,male,55.5,0,0,8.05,S,True,Southampton,True,2.016556386412959,-0.48386093442736505
0,3,male,40.5,0,2,14.5,S,True,Southampton,False,0.8613713103006776,-0.3540757452376625
0,3,male,28.0,0,0,7.3125,S,True,Southampton,True,-0.10128291979289035,-0.4987007138114589
0,1,male,51.0,0,1,61.3792,C,True,Cherbourg,False,1.6700008635792747,0.5892150828339502
1,3,female,16.0,0,0,7.7333,Q,False,Queenstown,True,-1.0254309806827155,-0.4902334878252532
0,3,male,30.0,0,0,8.05,S,True,Southampton,True,0.05274175702208052,-0.48386093442736505
0,3,male,28.0,0,0,8.6625,S,True,Southampton,True,-0.10128291979289035,-0.4715363718880328
0,3,male,28.0,8,2,69.55,S,True,Southampton,False,-0.10128291979289035,0.7536257531953799
0,3,male,44.0,0,1,16.1,S,True,Southampton,False,1.1309144947268766,-0.321880969624713
1,2,female,40.0,0,0,15.75,S,False,Southampton,True,0.8228651410969349,-0.32892357679004575
0,3,male,26.0,0,0,7.775,S,True,Southampton,True,-0.25530759660786123,-0.4893944114858408
0,3,male,17.0,0,0,8.6625,S,True,Southampton,True,-0.9484186422752301,-0.4715363718880328
0,3,male,1.0,4,1,39.6875,S,False,Southampton,False,-2.180616056794997,0.15274044898181535
1,3,male,9.0,0,2,20.525,S,False,Southampton,False,-1.5645173495351135,-0.23284229332014972
1,1,female,28.0,0,1,55.0,S,False,Southampton,False,-0.10128291979289035,0.46085451246512077
0,3,female,45.0,1,4,27.9,S,False,Southampton,False,1.207926833134362,-0.08444449947921079
0,1,male,28.0,0,0,25.925,S,True,Southampton,True,-0.10128291979289035,-0.12418492562644524
0,3,male,28.0,0,0,56.4958,S,True,Southampton,True,-0.10128291979289035,0.49095260331627694
0,1,male,61.0,0,0,33.5,S,True,Southampton,True,2.4401242476541287,0.02823721516611236
0,3,male,4.0,4,1,29.125,Q,False,Queenstown,False,-1.9495790415725407,-0.05979537440054633
1,3,female,1.0,1,1,11.1333,S,False,Southampton,False,-2.180616056794997,-0.42181958964773564
0,3,male,21.0,0,0,7.925,S,True,Southampton,True,-0.6403692886452884,-0.4863761512721267
0,1,male,56.0,0,0,30.6958,C,True,Cherbourg,True,2.055062555616702,-0.028188153442533226
0,3,male,18.0,1,1,7.8542,S,True,Southampton,False,-0.8714063038677446,-0.48780077009299977
0,3,male,28.0,3,1,25.4667,S,True,Southampton,False,-0.10128291979289035,-0.13340671666607948
0,1,female,50.0,0,0,28.7125,C,False,Cherbourg,True,1.5929885251717892,-0.06809558998825989
0,2,male,30.0,0,0,13.0,S,True,Southampton,True,0.05274175702208052,-0.38425834737480263
0,3,male,36.0,0,0,0.0,S,True,Southampton,True,0.5148157874669931,-0.6458408992300171
0,3,female,28.0,8,2,69.55,S,False,Southampton,False,-0.10128291979289035,0.7536257531953799
0,2,male,28.0,0,0,15.05,C,True,Cherbourg,True,-0.10128291979289035,-0.34300879112071114
0,3,male,9.0,4,2,31.3875,S,False,Southampton,False,-1.5645173495351135,-0.014269949510359993
1,2,male,1.0,2,1,39.0,S,False,Southampton,False,-2.180616056794997,0.13890675633562613
1,3,female,4.0,0,2,22.025,S,False,Southampton,False,-1.9495790415725407,-0.2026596911830096
0,1,male,28.0,0,0,50.0,S,True,Southampton,True,-0.10128291979289035,0.3602458386746537
1,3,female,28.0,1,0,15.5,Q,False,Queenstown,False,-0.10128291979289035,-0.33395401047956913
1,1,male,45.0,0,0,26.55,S,True,Southampton,True,1.207926833134362,-0.11160884140263685
0,3,male,40.0,1,1,15.5,Q,True,Queenstown,False,0.8228651410969349,-0.33395401047956913
0,3,male,36.0,0,0,7.8958,S,True,Southampton,True,0.5148157874669931,-0.486963705927063
1,2,female,32.0,0,0,13.0,S,False,Southampton,True,0.20676643383705137,-0.38425834737480263
0,2,male,19.0,0,0,13.0,S,True,Southampton,True,-0.7943939654602592,-0.38425834737480263
1,3,female,19.0,1,0,7.8542,S,False,Southampton,False,-0.7943939654602592,-0.48780077009299977
1,2,male,3.0,1,1,26.0,S,False,Southampton,False,-2.026591379980026,-0.12267579551958825
1,1,female,44.0,0,0,27.7208,C,False,Cherbourg,True,1.1309144947268766,-0.08805031434786109
1,1,female,58.0,0,0,146.5208,C,False,Cherbourg,True,2.209087232431673,2.3024117749136366
0,3,male,28.0,0,0,7.75,Q,True,Queenstown,True,-0.10128291979289035,-0.4898974548547931
0,3,male,42.0,0,1,8.4042,S,True,Southampton,False,0.9768898179119057,-0.47673381597604836
1,3,female,28.0,0,0,7.75,Q,False,Queenstown,True,-0.10128291979289035,-0.4898974548547931
0,2,female,24.0,0,0,13.0,S,False,Southampton,True,-0.40933227342283207,-0.38425834737480263
0,3,male,28.0,0,0,9.5,S,True,Southampton,True,-0.10128291979289035,-0.4546844190281296
0,3,male,28.0,8,2,69.55,S,True,Southampton,False,-0.10128291979289035,0.7536257531953799
0,3,male,34.0,0,0,6.4958,S,True,Southampton,True,0.36079111065202224,-0.5151341345883939
0,3,male,45.5,0,0,7.225,C,True,Cherbourg,True,1.2464330023381047,-0.5004613656027921
1,3,male,18.0,0,0,8.05,S,True,Southampton,True,-0.8714063038677446,-0.48386093442736505
0,3,female,2.0,0,1,10.4625,S,False,Southampton,False,-2.1036037183875114,-0.4353172493234647
0,3,male,32.0,1,0,15.85,S,True,Southampton,False,0.20676643383705137,-0.3269114033142364
1,3,male,26.0,0,0,18.7875,C,True,Cherbourg,True,-0.25530759660786123,-0.26780380746233695
1,3,female,16.0,0,0,7.75,Q,False,Queenstown,True,-1.0254309806827155,-0.4898974548547931
1,1,male,40.0,0,0,31.0,C,True,Cherbourg,True,0.8228651410969349,-0.022067121729121175
0,3,male,24.0,0,0,7.05,S,True,Southampton,True,-0.40933227342283207,-0.5039826691854584
1,2,female,35.0,0,0,21.0,S,False,Southampton,True,0.4378034490595077,-0.22328446931005533
0,3,male,22.0,0,0,7.25,S,True,Southampton,True,-0.563356950237803,-0.4999583222338398
0,2,male,30.0,0,0,13.0,S,True,Southampton,True,0.05274175702208052,-0.38425834737480263
0,3,male,28.0,1,0,7.75,Q,True,Queenstown,False,-0.10128291979289035,-0.4898974548547931
1,1,female,31.0,1,0,113.275,C,False,Cherbourg,False,0.12975409542956595,1.6334486054930144
1,3,female,27.0,0,0,7.925,S,False,Southampton,True,-0.17829525820037578,-0.4863761512721267
0,2,male,42.0,1,0,27.0,S,True,Southampton,False,0.9768898179119057,-0.10255406076149484
1,1,female,32.0,0,0,76.2917,C,False,Cherbourg,True,0.20676643383705137,0.8892804524140184
0,2,male,30.0,0,0,10.5,S,True,Southampton,True,0.05274175702208052,-0.4345626842700362
1,3,male,16.0,0,0,8.05,S,True,Southampton,True,-1.0254309806827155,-0.48386093442736505
0,2,male,27.0,0,0,13.0,S,True,Southampton,True,-0.17829525820037578,-0.38425834737480263
0,3,male,51.0,0,0,8.05,S,True,Southampton,True,1.6700008635792747,-0.48386093442736505
0,3,male,28.0,0,0,7.8958,S,True,Southampton,True,-0.10128291979289035,-0.486963705927063
1,1,male,38.0,1,0,90.0,S,True,Southampton,False,0.668840464281964,1.1651152289983904
0,3,male,22.0,0,0,9.35,S,True,Southampton,True,-0.563356950237803,-0.4577026792418436
1,2,male,19.0,0,0,10.5,S,True,Southampton,True,-0.7943939654602592,-0.4345626842700362
0,3,male,20.5,0,0,7.25,S,True,Southampton,True,-0.678875457849031,-0.4999583222338398
0,2,male,18.0,0,0,13.0,S,True,Southampton,True,-0.8714063038677446,-0.38425834737480263
0,3,female,28.0,3,1,25.4667,S,False,Southampton,False,-0.10128291979289035,-0.13340671666607948
1,1,female,35.0,1,0,83.475,S,False,Southampton,False,0.4378034490595077,1.0338209097018307
0,3,male,29.0,0,0,7.775,S,True,Southampton,True,-0.024270581385404912,-0.4893944114858408
0,2,male,59.0,0,0,13.5,S,True,Southampton,True,2.286099570839158,-0.3741974799957559
1,3,female,5.0,4,2,31.3875,S,False,Southampton,False,-1.8725667031650552,-0.014269949510359993
0,2,male,24.0,0,0,10.5,S,True,Southampton,True,-0.40933227342283207,-0.4345626842700362
0,3,female,28.0,0,0,7.55,S,False,Southampton,True,-0.10128291979289035,-0.49392180180641176
0,2,male,44.0,1,0,26.0,S,True,Southampton,False,1.1309144947268766,-0.12267579551958825
1,2,female,8.0,0,2,26.25,S,False,Southampton,False,-1.641529687942599,-0.1176453618300649
0,2,male,19.0,0,0,10.5,S,True,Southampton,True,-0.7943939654602592,-0.4345626842700362
0,2,male,33.0,0,0,12.275,S,True,Southampton,True,0.2837787722445368,-0.3988466050744204
0,3,female,28.0,1,0,14.4542,C,False,Cherbourg,False,-0.10128291979289035,-0.3549973206895832
1,3,female,28.0,1,0,15.5,Q,False,Queenstown,False,-0.10128291979289035,-0.33395401047956913
0,2,male,29.0,0,0,10.5,S,True,Southampton,True,-0.024270581385404912,-0.4345626842700362
0,3,male,22.0,0,0,7.125,S,True,Southampton,True,-0.563356950237803,-0.5024735390786015
0,3,male,30.0,0,0,7.225,C,True,Cherbourg,True,0.05274175702208052,-0.5004613656027921
0,1,male,44.0,2,0,90.0,Q,True,Queenstown,False,1.1309144947268766,1.1651152289983904
0,3,female,25.0,0,0,7.775,S,False,Southampton,True,-0.3323199350153466,-0.4893944114858408
1,2,female,24.0,0,2,14.5,S,False,Southampton,False,-0.40933227342283207,-0.3540757452376625
1,1,male,37.0,1,1,52.5542,S,True,Southampton,False,0.5918281258744785,0.41164077359377593
0,2,male,54.0,1,0,26.0,S,True,Southampton,False,1.9010378788017308,-0.12267579551958825
0,3,male,28.0,0,0,7.25,S,True,Southampton,True,-0.10128291979289035,-0.4999583222338398
0,3,female,29.0,1,1,10.4625,S,False,Southampton,False,-0.024270581385404912,-0.4353172493234647
0,1,male,62.0,0,0,26.55,S,True,Southampton,True,2.5171365860616146,-0.11160884140263685
0,3,male,30.0,1,0,16.1,S,True,Southampton,False,0.05274175702208052,-0.321880969624713
0,3,female,41.0,0,2,20.2125,S,False,Southampton,False,0.8998774795044203,-0.23913033543205392
1,3,female,29.0,0,2,15.2458,C,False,Cherbourg,False,-0.024270581385404912,-0.3390689554550765
1,1,female,28.0,0,0,79.2,C,False,Cherbourg,True,-0.10128291979289035,0.9478004936109815
1,1,female,30.0,0,0,86.5,S,False,Southampton,True,0.05274175702208052,1.0946891573450634
1,1,female,35.0,0,0,512.3292,C,False,Cherbourg,True,0.4378034490595077,9.663111371996175
1,2,female,50.0,0,1,26.0,S,False,Southampton,False,1.5929885251717892,-0.12267579551958825
0,3,male,28.0,0,0,7.75,Q,True,Queenstown,True,-0.10128291979289035,-0.4898974548547931
1,3,male,3.0,4,2,31.3875,S,False,Southampton,False,-2.026591379980026,-0.014269949510359993
0,1,male,52.0,1,1,79.65,S,True,Southampton,False,1.74701320198676,0.9568552742521236
0,1,male,40.0,0,0,0.0,S,True,Southampton,True,0.8228651410969349,-0.6458408992300171
0,3,female,28.0,0,0,7.75,Q,False,Queenstown,True,-0.10128291979289035,-0.4898974548547931
0,2,male,36.0,0,0,10.5,S,True,Southampton,True,0.5148157874669931,-0.4345626842700362
0,3,male,16.0,4,1,39.6875,S,True,Southampton,False,-1.0254309806827155,0.15274044898181535
1,3,male,25.0,1,0,7.775,S,True,Southampton,False,-0.3323199350153466,-0.4893944114858408
1,1,female,58.0,0,1,153.4625,S,False,Southampton,False,2.209087232431673,2.4420908210838936
1,1,female,35.0,0,0,135.6333,S,False,Southampton,True,0.4378034490595077,2.083336387734894
0,1,male,28.0,0,0,31.0,S,True,Southampton,True,-0.10128291979289035,-0.022067121729121175
1,3,male,25.0,0,0,0.0,S,True,Southampton,True,-0.3323199350153466,-0.6458408992300171
1,2,female,41.0,0,1,19.5,S,False,Southampton,False,0.8998774795044203,-0.25346707144719544
0,1,male,37.0,0,1,29.7,C,True,Cherbourg,False,0.5918281258744785,-0.04822537691464263
1,3,female,28.0,0,0,7.75,Q,False,Queenstown,True,-0.10128291979289035,-0.4898974548547931
1,1,female,63.0,1,0,77.9583,S,False,Southampton,False,2.5941489244691,0.9228153355618567
0,3,female,45.0,0,0,7.75,S,False,Southampton,True,1.207926833134362,-0.4898974548547931
0,2,male,28.0,0,0,0.0,S,True,Southampton,True,-0.10128291979289035,-0.6458408992300171
0,3,male,7.0,4,1,29.125,Q,False,Queenstown,False,-1.7185420263500844,-0.05979537440054633
1,3,female,35.0,1,1,20.25,S,False,Southampton,False,0.4378034490595077,-0.2383757703786254
0,3,male,65.0,0,0,7.75,Q,True,Queenstown,True,2.748173601284071,-0.4898974548547931
0,3,male,28.0,0,0,7.8542,S,True,Southampton,True,-0.10128291979289035,-0.48780077009299977
0,3,male,16.0,0,0,9.5,S,True,Southampton,True,-1.0254309806827155,-0.4546844190281296
1,3,male,19.0,0,0,8.05,S,True,Southampton,True,-0.7943939654602592,-0.48386093442736505
